,eda_means,unaltered_means
50,"[0.8960000000000001, 0.688, 0.702, 0.808, 0.7700000000000001, 0.8940000000000001, 0.796, 0.8200000000000001, 0.7, 0.756]","[0.5800000000000001, 0.6, 0.7, 0.54, 0.72, 0.6199999999999999, 0.5599999999999999, 0.7, 0.64, 0.58]"
100,"[0.7769999999999999, 0.8130000000000001, 0.8030000000000002, 0.8059999999999998, 0.841, 0.857, 0.8400000000000001, 0.8059999999999998, 0.85, 0.841]","[0.7100000000000001, 0.6799999999999999, 0.7699999999999999, 0.61, 0.61, 0.7, 0.8, 0.73, 0.7300000000000001, 0.6900000000000001]"
500,"[0.8942, 0.8904, 0.8896, 0.8872, 0.9266, 0.9014000000000001, 0.8832000000000001, 0.8988000000000002, 0.8635097493036211, 0.891]","[0.9020000000000001, 0.8779999999999999, 0.89, 0.892, 0.9099999999999999, 0.89, 0.9019999999999999, 0.8860000000000001, 0.9279999999999999, 0.892]"
1000,"[0.9, 0.9094, 0.8987999999999999, 0.8916999999999999, 0.8973000000000001, 0.9029, 0.8874000000000001, 0.9287000000000001, 0.8916000000000001, 0.9020000000000001]","[0.899, 0.9110000000000001, 0.906, 0.921, 0.9, 0.883, 0.907, 0.892, 0.8939999999999999, 0.892]"
