,eda,unaltered
50,0.7200000286102295,0.699999988079071
100,0.8949999809265137,0.6000000238418579
500,0.9200000166893004,0.6700000166893005
1000,0.921999990940094,0.9200000166893004
5000,0.9211999773979188,0.912999987602234
