,mt,unaltered,eda
50,0.5960000157356262,0.6399999856948853,0.7300000190734863
100,,0.7099999785423279,0.6299999952316284
500,,0.8820000290870667,0.7210000157356262
1000,,0.9100000262260436,0.8331999778747559
5000,,0.907800018787384,0.8655200004577637
